nohup: ignoring input
I1203 17:25:26.580316  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.580331  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.600397  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1044
I1203 17:25:26.600443  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.600457  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.620432  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1045
I1203 17:25:26.620469  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.620481  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.640549  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1046
I1203 17:25:26.640581  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.640592  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.660687  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1047
I1203 17:25:26.660732  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.660747  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.680825  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1048
I1203 17:25:26.680874  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.680887  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.701225  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1049
I1203 17:25:26.701273  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.701380  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.721604  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1050
I1203 17:25:26.721659  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.721674  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.741699  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1051
I1203 17:25:26.741735  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.741751  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.761808  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1052
I1203 17:25:26.761857  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.761870  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.781975  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1053
I1203 17:25:26.782025  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.782038  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.802076  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1054
I1203 17:25:26.802124  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.802137  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.822197  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1055
I1203 17:25:26.822244  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.822258  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.842266  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1056
I1203 17:25:26.842307  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.842321  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.862393  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1057
I1203 17:25:26.862431  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.862443  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.882492  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1058
I1203 17:25:26.882532  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.882546  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.902589  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1059
I1203 17:25:26.902644  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.902657  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.922746  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1060
I1203 17:25:26.922786  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.922799  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.942802  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1061
